gameId,teamName,Q,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,points,resultado
22000017,Grizzlies,2,8,24,4,8,0,2,5,9,4,0,1,5,2,20,W
22000017,Grizzlies,3,15,21,1,2,4,6,0,11,8,2,2,6,8,35,W
22000017,Grizzlies,4,13,24,0,6,5,7,0,8,9,2,1,0,6,31,W
22000017,Spurs,1,9,22,3,8,9,10,2,14,3,0,0,4,3,30,L
22000017,Spurs,2,16,28,3,6,1,2,3,10,10,3,3,0,3,36,L
22000017,Spurs,3,12,25,0,3,9,10,2,5,7,5,2,3,5,33,L
22000017,Spurs,4,11,20,4,8,6,7,1,11,8,0,3,3,7,32,L
22000018,Pistons,1,14,24,4,6,2,3,1,10,9,1,0,1,5,34,W
22000018,Pistons,2,11,25,1,12,0,1,3,9,8,0,1,2,6,23,W
22000018,Pistons,3,12,22,3,8,1,2,1,7,7,3,0,5,3,28,W
22000018,Pistons,4,8,22,0,9,0,2,2,11,5,1,1,4,6,16,W
22000018,Timberwolves,1,9,23,2,11,5,6,4,7,5,0,0,3,6,25,L
22000018,Timberwolves,2,10,20,2,7,9,11,2,10,6,0,1,1,3,31,L
22000018,Timberwolves,3,9,21,3,12,3,4,4,7,6,3,2,6,5,24,L
22000018,Timberwolves,4,10,24,4,11,7,7,2,12,8,3,2,1,2,31,L
22000019,Kings,1,9,23,3,9,4,5,4,8,8,0,2,4,6,25,L
22000019,Kings,2,11,26,1,6,5,6,4,7,6,2,2,0,5,28,L
22000019,Kings,3,12,19,2,4,10,10,3,10,5,1,2,5,9,36,L
22000019,Kings,4,7,22,4,10,5,10,6,8,6,1,0,5,7,23,L
22000019,Kings,5,6,12,0,2,0,0,1,3,2,1,1,0,2,12,L
22000019,Nuggets,1,12,20,3,6,4,5,1,11,9,2,2,5,4,31,W
22000019,Nuggets,2,11,25,2,6,5,5,6,10,4,0,2,3,6,29,W
22000019,Nuggets,3,9,24,3,9,3,4,1,3,7,1,2,1,7,24,W
22000019,Nuggets,4,10,19,0,6,8,10,1,8,5,3,3,4,8,28,W
22000019,Nuggets,5,5,10,0,2,0,0,1,4,3,0,2,2,0,10,W
22000020,Jazz,1,13,27,6,12,0,2,3,14,6,0,2,1,5,32,W
22000020,Jazz,2,11,23,7,16,4,4,2,13,5,1,0,3,4,33,W
22000020,Jazz,3,11,24,3,12,4,4,4,10,9,2,1,3,2,29,W
22000020,Jazz,4,8,20,3,10,7,9,3,10,4,0,0,4,5,26,W
22000020,Trail Blazers,1,9,24,5,10,2,5,1,10,7,1,2,1,3,25,L
22000020,Trail Blazers,2,7,21,1,8,4,4,1,8,7,1,0,2,5,19,L
22000020,Trail Blazers,3,10,24,2,7,2,2,2,7,5,2,0,2,4,24,L
22000020,Trail Blazers,4,11,23,4,8,6,6,2,9,4,2,1,1,6,32,L
22000021,Grizzlies,1,9,24,2,11,2,4,4,12,5,0,1,4,2,22,L
22000021,Grizzlies,2,10,22,3,9,11,13,1,10,5,1,2,3,7,34,L
22000021,Grizzlies,3,12,25,6,12,2,2,1,8,7,2,3,1,9,32,L
